Stream ID,Packet Count, Packets (Up), Packets (Down),Average Bytes/packet,Average bytes up,Average bytes down,Total bytes,Duration (seconds),écart-type (bytes),Average inter packet time up,Average inter packet time down,ecart-type temps inter paquet up,ecart-type temps inter paquet down
1a8319765ddcd72ca088d329607216d7a1559c3a0ac8bb6fa308f9c99c91e908,32,11,21,874,167,1244,27972,0.06,613.11,0.01,0.00,0.01,0.00
a64e28397e6cc8b7fcdf5e887dd869431760fcef93457712248edb05e393815c,11,4,7,394,392,395,4339,0.07,498.82,0.02,0.01,0.01,0.01
57d60b352eed0e1292977f51934717080513ba9f68f221d9e5fc7279e61df8ea,20,9,11,251,237,262,5020,19.14,401.23,2.39,1.91,6.27,5.68
9a46f5ee514b3febac643e172c9863a8779a122ebca5bc0e5434b46708f76444,1455,288,1167,1092,48,1349,1589085,19.11,533.50,0.07,0.02,1.09,0.54
87cd977a83bbc1dd0ddaacbd4744f28261b853904f36cc433084fac0120d84a7,24,11,13,425,544,325,10221,19.15,509.83,1.91,1.59,5.69,5.24
bd0468b2bea53050e5b863025bdf48c71ab7c3bace5ef2778d445786b8e4d4a6,14,6,8,375,175,524,5250,0.18,432.97,0.04,0.02,0.06,0.05
a04dfe77ff528edc30ce64489997d753306295d3d3fcbae5563f8c44fe7ee351,28,12,16,552,336,715,15475,0.15,585.60,0.01,0.01,0.01,0.02
4e8116820d835f066b5ae3c332deddf3f6c8e48c731641958a21e19964c6b642,27,8,19,694,226,891,18742,0.09,630.88,0.01,0.00,0.01,0.01
cf05bd04753dcec0fad1da9513b6d4aa2243c83240c443455756e7a96cb150dd,21,11,10,535,176,930,11244,0.08,600.39,0.01,0.01,0.01,0.01
143711a23a984375f365b8abba92519e267ec8d7d21463dfbdca109837cb594b,30,16,14,483,262,736,14509,0.39,569.54,0.02,0.03,0.07,0.08
60a745831dbc1fe13b62386f1f43f2ad05e98bdaafd634b3609ece9753ce080f,263,77,186,890,198,1176,234210,2.47,615.18,0.03,0.01,0.21,0.14
9ed4f5b7bd86dc537678da4cceeb00f914850b0974ad439c0c2e38e23726c51d,54,30,24,225,171,293,12173,1.42,355.03,0.05,0.06,0.24,0.27
607894f09a8e5b5040f5f686859c27b8f24f701fd2f47b05a5717040277bdcd8,11,6,5,371,195,583,4091,0.03,427.29,0.01,0.00,0.01,0.01
9b163c70f382791c1c3ab0f9b10de6f0460b314b9db6474796a78a61b8ffd69f,13,6,7,414,338,480,5390,0.04,463.11,0.01,0.00,0.01,0.01
